node,degree centrality
Yong Liang Guan,157
Mohsen Guizani,444
Nadra Guizani,43
Bingyi Guo,8
Cheng Guo,35
Dongyu Guo,0
Fengxian Guo,4
Hongbo Guo,12
Honggang Guo,3
Jing Guo,117
Minyi Guo,226
Qing Guo,115
Song Guo 0001,191
Y. Jay Guo,76
Yashuang Guo,5
Yi Guo,118
Ali A. Haghighi,7
Javad Hajipour,4
Seppo Hämäläinen,5
Sang-wook Han,8
Shiying Han,7
Xu Han,123
Yan Han,51
Yiwen Han,8
Youngnam Han,53
Zhu Han,469
Salim A. Hanna,1
Lajos Hanzo,407
Fei Hao,52
Wanming Hao,23
Xiaolei Hao,3
Yixue Hao,35
Takahiro Hara,130
Md. Zoheb Hassan,4
Hassan Hawilo,9
Biao He,37
Bohan He,6
Chen He,89
Ying He 0006,9
Zongjian He,16
Rune Hjelsvold,6
Danfeng Hong,24
Ji Hong,0
Zhen Hong,19
Ekram Hossain,114
Md. Jahangir Hossain 0002,38
Seyedali Hosseininezhad,3
Cheng-Hsin Hsu,86
Ching-Hsien Hsu,112
Bin Hu,140
Bin Hu 0001,117
Chunqiang Hu,45
Hequn Hu,2
Jia Hu,40
Jiankun Hu,118
Long Hu,48
Miao Hu,40
Wenyan Hu,7
Xiping Hu 0001,66
Chao Huang,112
Chun-Ying Huang,38
Chung-Ming Huang,74
Guang-Bin Huang,96
Huawei Huang,43
Kuo-Wei Huang,1
Qingjia Huang,15
Shengchun Huang,11
Shisheng Huang,14
Site Huang,0
Tao Huang 0005,34
Tien-Chi Huang,16
Xiaopeng Huang,6
Xu Huang,9
Yan Huang 0022,4
Yao Huang,26
Iztok Humar,32
Ru Huo,4
Yinjia Huo,6
Thong Tri Huynh,0
Kai Hwang 0001,67
Abbas Jamalipour,112
Muhammad Jaseemuddin,19
Chris Jedrzycki,0
Je-Hyoung Jeon,2
Young-Sik Jeong,84
Fei Ji,38
Hong Ji 0001,50
Xiaoting Ji,5
Xiuyang Ji,3
C. Jiang,5
Chunxiao Jiang,122
Hailin Jiang,10
Qi Jiang,28
Shengming Jiang,38
Tianpeng Jiang,10
Xiaohong Jiang,120
Zhifeng Jiang,2
Shihab Jimaa,22
Hai Jin 0001,511
Hu Jin,36
Liang Jin,26
Lianghai Jin,16
Minglu Jin,37
Paria Jokar,3
Bang Chul Jung,51
Oliver Jung,14
Md. Fazlul Kader,8
Pouya Kamalinejad,8
Wenjing Kang,13
George K. Karagiannidis,230
Liyanaarachchi Lekamalage Chamara Kasun,6
Chintan Kaur,0
Yoji Kawamoto,2
Makoto Kawano,3
Kamyar Keikhosravy,6
Amir Kenarsari-Anhari,1
Ahmad Khaldieh,0
Mohammad G. Khoshkholgh,8
Dong Phil Kim,2
Hoon Kim,42
Jaihie Kim,51
Jin Woo Kim,25
Jongsung Kim,40
Seung-Yeon Kim,14
Haneul Ko,13
Seok Joo Koh,31
Edmond Kong,0
Fancheng Kong,5
Peng Yong Kong,33
Sastri L. Kota,22
Marios Kountouris,85
Vikram Krishnamurthy,71
Arun Sai Krishnan,4
Suresh Krishnan,18
Philippe Kruchten,50
Adlen Ksentini,85
Yu-Kwong Kwok,61
Taekyoung Kwon,22
Taesoo Kwon,27
Ted Taekyoung Kwon,76
Chin-Feng Lai,55
Xiaorong Lai,5
Kwok-Yan Lam,59
Ray Y. W. Lam,4
Lutz Lampe,98
Eng Tseng Lau,5
Tho Le-Ngoc,112
Rodger Lea,22
Ho-Jae Lee,0
Hyong-Woo Lee,16
Jack Y. B. Lee,32
Jinwoo Brian Lee,1
Johnson C. Lee,0
Jong-Hyouk Lee,43
Ki-Dong Lee,16
Lei Lei 0004,39
Amaury Lendasse,86
Kin K. Leung,115
Mark E. Lewis,8
Ang Li 0003,27
Ding Li,49
Dongming Li,22
Feng Li 0008,27
Haoming Li 0001,6
Hongyan Li,125
Jianqiang Li,114
Juan Li 0004,4
Juanjuan Li,25
Junfang Li,3
Keqiu Li,118
Kevin Garmen Li,0
Kuan Li,23
Minchen Li,7
Ming Li,344
Ming Li 0006,23
Ming Li 0007,23
Mo Li 0001,76
Pan Li 0006,5
Pei Li,58
Peng Li 0017,47
Qiang Li 0004,6
Qiang Li 0017,24
Shaoqian Li,196
Victor O. K. Li,170
Wei Li 0074,21
Wenxiang Li,22
Wenzhong Li,49
Xi Li 0004,40
Xitong Li,23
Xiuhua Li,44
Xuebin Li,2
Yalun Li,1
Yanjun Li,92
Yi Li 0006,15
Yong Li 0008,163
Yonghui Li,14
Yuheng Li,7
Zan Li,139
Zhetao Li,43
Zhuo Li 0003,20
Chengchao Liang,12
Junbin Liang,27
Lulu Liang,10
Min Liang,19
Qilian Liang,58
Shuang Liang,99
Xuedong Liang,11
Ying-Chang Liang,195
Ching Yu Liao,4
Lingxia Liao,6
Shang-Chuan Liao,0
Xiaofei Liao,100
Xuewen Liao,33
Soung Chang Liew,101
Meng-Hiot Lim,37
Che-Ming Lin,2
Jiarun Lin,4
Qiuzhen Lin,54
Tao Lin,151
Xiaopeng Lin,2
Ziqiao Lin,3
Robert Link,5
Bowen Liu,21
C.-H. Liu,0
Chao Liu,192
Chi Harold Liu,71
Dong Liu 0003,9
Gang Liu 0007,15
Gongliang Liu,34
Hao Liu,222
He Liu,61
Jia Liu,227
Jiang Liu 0010,23
Jiangchuan Liu,170
Jie Liu,293
Junfa Liu,30
Kangming Liu,0
Lingxia Liu,8
Mengting Liu,4
Mingqian Liu,16
Na Liu 0014,10
Qiang Liu 0004,41
Xiangnan Liu,30
Xianru Liu,1
Xiaofei Liu,25
Xiaonan Liu,25
Xin Liu,474
Xin Liu 0009,68
Xiulong Liu,28
Xue Liu,92
Yanheng Liu,58
Yi Liu 0015,19
Yiming Liu 0002,5
Yunjie Liu,50
Yupei Liu,0
Zhi Liu,122
Geoffrey Lo,2
Keping Long,103
Jonathan Loo,98
Han-cheng Lu,0
Jinchao Lu,0
Sanglu Lu,121
Songwu Lu,81
Weifeng Lü,0
Yawei Lu,2
Shenji Luan,5
Chung-Horng Lung,82
Changqing Luo,25
Hongbin Luo,44
Xuan Luo,15
Shaohe Lv,26
Huadong Ma,114
Jianhua Ma,186
Jianpeng Ma,20
Li Ma,124
Lijia Ma,29
Lin Ma 0001,46
Ngok-Wah Ma,3
Yajie Ma,19
Michele Magno,71
Chinmaya Mahapatra,5
Saad Mahboob,3
Andrew D. Malyan,2
Hassan Mansour,40
Kezhi Mao,26
Shiwen Mao,97
Xu Mao,3
Maria G. Martini,58
Robert D. McLeod,22
Sanjeev Mehrotra,12
Hamid Mehrvar,1
Lin Mei,59
Weixiao Meng 0001,103
Anil Mengi,8
Anu Mercian,6
De Mi,27
Chunyan Miao,155
Yoan Miché,47
David G. Michelson,32
Geyong Min,187
Mahmood R. Minhas,3
Shahriar Mirabbasi,64
Jelena V. Misic,43
Toshiaki Miyazaki,64
Mahnoosh Mobasseri,0
Amr Mohamed,76
Akshaya Kumar Moharana,0
Nader Mokari,43
Reza Molavi,10
Denis Monette,0
Wilfrido Alejandro Moreno,20
Mithun Mukherjee 0001,46
Tomonori Nakayama,2
Jin Nakazawa,55
Arumugam Nallanathan,204
Panos Nasiopoulos,46
Keivan Navaie,35
Maziar Nekovee,38
Derrick Wing Kwan Ng,122
Kin Weng Ng,0
Leslie J. Ng,0
Edith C. H. Ngai,73
Minming Ni,21
Qiang Ni,157
Rui Nian,25
Hasen Nicanfar,9
Yani Nie,4
Huansheng Ning,63
Zhaolong Ning,61
Shojiro Nishio,115
Dusit Niyato,196
Muemin Oezpolat,0
Beom-Seok Oh,16
Yew-Soon Ong,143
Basak Oztas,3
Sangheon Pack,73
Daru Pan,17
Jianli Pan,25
Jianping Pan 0001,85
Miao Pan,97
Weimin Pan,7
Yi Pan 0001,212
Qixiang Pang,7
Zhibo Pang,55
Sang Oh Park,16
Bin Peng,38
Fei Peng,88
Kai Peng,41
Mugen Peng,147
Wen-Chih Peng,71
Saskia Pfersich,0
Maria Cristina Pinotti,51
Vincenzo Piuri,95
Stelios E. Ploumis,3
Hervé Le Pocher,2
H. Vincent Poor,598
Mahsa T. Pourazad,28
Chris J. Powell,0
Gautham Prasad,5
Stere Preda,16
Emmanuel Protonotarios,0
Karim Qayumi,0
Li Ping Qian 0001,50
Nanjian Qian,0
Yi Qian,158
Zhihong Qian,13
Zhuzhong Qian,58
Yajuan Qin,28
Zhen Qin,69
Han Qiu 0001,8
Meikang Qiu,169
Yu Qiu,25
Guannan Qu,19
Hamed Mohsenian Rad,46
A. Ramakrishnan,0
Tejinder S. Randhawa,6
Ravishankar Ravindran,27
Yong Ren,118
Eduardo Parente Ribeiro,3
Joel J. P. C. Rodrigues,345
Morgan Roff,3
Bo Rong,58
Chunming Rong,64
Karim Rostamzadeh,4
Sébastien Roy 0002,24
Mengni Ruan,1
Rukhsana Ruby,33
Pratap Kumar Sahu,7
Bambang A. B. Sarif,6
Peramanathan Sathyamoorthy,3
Chris Scholefield,3
Boon-Chong Seet,41
Raja Sengupta,21
Jun-Bae Seo,14
Peyman Servati,8
Xuejun Sha,39
Ahmed El Shafie,36
Kaveh Shafiee,7
Vahid Shah-Mansouri,33
Abdallah Shami,66
Weidong Shao,12
Madhu J. Sharma,1
Ryan Shea,19
An-Ni Shen,2
Guojun Shen,7
Johnny Shen,3
Min Sheng,97
Zhengguo Sheng,60
GaoTao Shi,0
Jia Shi,44
Ali Al Shidhani,1
Kang G. Shin,222
Soo Young Shin,50
Ghasem Naddafzadeh Shirazi,5
Lei Shu 0001,216
Pengbo Si,23
David Simplot-Ryl,31
Iraj Sodagar,9
Shabnam Sodagari,12
Samy S. Soliman,10
Jaeseung Song,35
Joo-Han Song,3
Lingyang Song,135
Mei Song,67
Wen-Zhan Song,74
Xiaoshi Song,15
Xuegui Song,6
Yong Song,42
Vikram Srinivasan,17
Alex Stephenne,21
Leo J. Stocco,7
Thanos Stouraitis,45
Jian Su,65
Man Su,5
Bo Sun 0001,33
Dayang Sun,4
Gangcan Sun,14
Geng Sun,40
Haijian Sun,17
Hongjian Sun,44
Liang Sun 0007,16
Mengying Sun,10
Wen-Bin Sun,2
Xinghua Sun,17
Yanfei Sun,32
Zhixin Sun,48
Nambiar Shruti Surendrakumar,0
Ashwin Ram Suresh,0
John Sydor,12
Rahim Tafazolli,197
Nima Taherinejad,18
Kenichi Takahata,4
Peter Takats,0
Tarik Taleb,135
Peyman TalebiFard,13
Junjie Tan,6
Shiying Tan,0
Zhiyuan Tan 0002,4
Hao Tang,72
Helen Tang,24
Helen Y. Tang,0
Jie Tang 0002,37
Tao Tang 0004,22
Zhiyao Tang,3
Xiaofeng Tao,165
Xiaoming Tao,52
Xin Tao,60
Yinglei Teng,41
Andrew Beng Jin Teoh,74
Daxin Tian,44
Xianzhong Tian,13
Yue Tian,14
Kar-Ann Toh,52
Hamid Reza Tohidypour,6
Narjes Torabi,2
Maria Törö,3
Imene Trigui,10
Catherine Truchan,1
Fan-Hsun Tseng,20
Yu-Chee Tseng,156
Theodoros A. Tsiftsis,112
Wei Tu,34
Murahari Vadapalli,0
Shahrokh Valaee,76
Athanasios V. Vasilakos,435
Chi-Man Vong,37
Branka Vucetic,162
Son T. Vuong,26
A. Wafa,0
Jaifu Wan,0
Jiafu Wan,77
Peng-Jun Wan,89
Aimin Wang,26
Baobao Wang,5
Baoyun Wang,27
Chen Wang,206
Chenyang Wang,26
Chonggang Wang,119
Fei Wang 0006,2
Guoqiang Wang,69
Hai Wang,76
Hai Wang 0007,28
Hai Wang 0010,17
Hao Wang,513
Haohong Wang,38
Honggang Wang,114
Hongjiang Wang,7
Hongwei Wang,118
Hui Wang 0043,3
Jiabin Wang,30
Jiaheng Wang,77
Jian Wang 0030,21
Jingjing Wang,185
Jun Wang 0008,2
Ke Wang 0013,10
Kun Wang 0005,114
Lei Wang,741
Lei Wang 0005,80
Li Wang 0041,20
Lingxia Wang,3
Ning Wang,260
Renfei Wang,8
Rui Wang 0007,37
Rui Wang 0012,5
Ruisong Wang,7
Shan Wang 0005,21
Shangguang Wang,76
Shanjia Wang,6
Shiguo Wang,6
Shuguo Wang,27
Wei Wang,706
Wei Wang 0050,41
Weihong wang,0
Weiming Wang,89
Xianbin Wang 0001,145
Xianling Wang,16
Xiao Lei Wang,0
Xiaodong Wang 0002,35
Xiaofei Wang 0001,24
Xiaojie Wang,142
Xiaolu Wang,25
Xinbing Wang,226
Xinwei Wang,17
Xixian Wang,2
Yilei Wang,39
Yunpeng Wang,77
Z. Jane Wang,84
Zehua Wang,22
Zhenduo Wang,13
Rabab Kreidieh Ward,99
Jibo Wei,87
Jingyi Wei,0
Lei Wei,25
Yifei Wei,26
Zhexiong Wei,8
Guangjun Wen,27
Miaowen Wen,59
Yonggang Wen,129
Jeong-Jae Won,10
Aries Y.-C. Wong,0
Kirk H. M. Wong,2
Kok-Seng Wong,6
Terrence Wong,4
Vincent W. S. Wong,68
William K. Wong,4
Di Wu 0001,51
Feijie Wu,0
Jiangxing Wu,44
Kaishun Wu,82
Kui Wu 0001,99
Lijuan Wu,2
Meng Wu,68
Peiran Wu,8
Wan-deng Wu,1
Wei Wu 0005,11
Xiao Wu,35
Xindong Wu 0001,220
Xiongwei Wu,14
Yongchao Wu,3
Yongpeng Wu,111
Yulei Wu,54
Zexian Wu,0
Hongsheng Xi,45
Yong Xia,114
Yong Xiang 0001,86
Bin Xiao,49
Pei Xiao,114
Sa Xiao,29
Shijie Xiao,10
Yang Xiao,137
Yang Xiao 0001,68
Kaiduan Xie,2
Renchao Xie,16
Shengli Xie,96
Xiaoming Xie,11
Fangyuan Xing,3
Hong Xing,27
Chun-lin Xiong,10
Ke Xu 0002,111
Shihao Xu,10
Shouzhi Xu,17
Shugong Xu,66
Tong Xu,50
Xiaodong Xu,117
Xiaolong Xu,93
Yubin Xu,33
Xueyue Xue,0
Liang Yan,7
Qiao Yan,24
Xueqiang Yan,0
Chenyang Yang,85
Chungang Yang,33
Gang Yang 0005,13
Kai Yang 0004,33
Kan Yang 0001,36
Kun Yang 0001,99
Laurence T. Yang,374
Lichao Yang,5
Lie-Liang Yang,90
Manrou Yang,6
Ning Yang,51
Oliver W. W. Yang,52
Qinghai Yang,49
Shusen Yang,25
Wang Yang,16
Xuefeng Yang,14
Yi Yang 0006,12
Zhe Yang 0006,6
Zhutian Yang,21
Halim Yanikomeroglu,149
Tong Yao,6
Xin Yao 0001,210
Zhiqiang Yao,38
Emre A. Yavuz,21
Guanshan Ye,0
Li-Hsing Yen,30
Neil Y. Yen,48
Byung K. Yi,11
Changchuan Yin,55
Hao Yin,123
Hongxi Yin,23
Jianping Yin,92
Zhanping Yin,1
Takuro Yonezawa,40
Ilsun You,153
Zhu-Hong You,64
Chao Yu,103
F. Richard Yu,200
Guanding Yu,69
Hanchao Yu,15
Oliver Yu,11
Qiyue Yu,23
Rong Yu,52
Shui Yu,248
Zhi Yu,22
Dongdong Yuan,4
Yong Yuan,43
Ho Yin Yuen,0
Ozgur Yurur,3
Nazia Zaman,2
Jens Zander,56
Sherali Zeadally,154
Deze Zeng,67
Jun-Hai Zhai,25
Bin Zhang,210
Chu Zhang,24
Chuang Zhang,87
Daqiang Zhang,58
H. Zhang,32
Haijun Zhang,164
Haochen Zhang,10
Heli Zhang,28
Hongke Zhang,121
Jiao Zhang 0001,10
Jie Zhang,417
Jie Zhang 0009,3
Jun Zhang 0004,51
Jun Zhang 0023,28
Linjuan Zhang,9
Naitong Zhang,51
Ping Zhang 0003,190
Qian Zhang 0001,191
Rui Zhang,384
Rui Zhang 0006,126
Shiying Zhang,5
Shun Zhang 0003,30
Shuyi Zhang,9
Wenyu Zhang,72
Xin Zhang 0039,4
Xinyu Zhang,113
Xiushe Zhang,7
Yan Zhang,528
Yan Zhang 0002,178
Yanhua Zhang,40
Yaomin Zhang,3
Yin Zhang 0002,66
Ying Zhang,426
Ying Zhang 0007,8
Yiwen Zhang,61
Yong Zhang 0025,14
Yongguang Zhang,63
Yuhua Zhang,22
Yunfei Zhang,26
Zheng Zhang,200
Zhenjiang Zhang,45
Zhongshan Zhang,78
Zhongzhao Zhang,23
Chuanxin Zhao,25
Haitao Zhao 0001,27
Jidi Zhao,12
Liang Zhao 0005,10
Liqiang Zhao,55
Nan Zhao 0001,78
Wentao Zhao,28
Xiaohui Zhao,36
Yisheng Zhao,11
Jie Zheng 0005,17
Jun Zheng,132
Kan Zheng,101
Lixin Zheng,22
Qiang Zheng,35
Tongxing Zheng,21
Shuxin Zhong,7
Zhangdui Zhong,180
Ao Zhou,22
Conghui Zhou,3
Dizhi Zhou,5
Fuhui Zhou,57
Hongming Zhou,13
Huan Zhou 0002,26
Huilin Zhou,4
Jianshan Zhou,19
Jing Zhou,161
Li Zhou 0002,24
Liang Zhou 0002,48
Xingming Zhou,33
Yang Zhou 0004,3
Yifan Zhou,27
Yingjie Zhou,20
Chaojie Zhu,4
Chen Zhu,73
Chunsheng Zhu,90
Dongxiao Zhu,31
Haiying Julie Zhu,1
Hongbo Zhu,121
Jia Zhu,106
Jinsong Zhu,6
Jun Zhu,172
Li Zhu,133
Maosheng Zhu,5
Qi Zhu 0003,17
Yihua Zhu,43
Zhengyu Zhu,46
Yuandong Zhuang,3
YuLong Zou,67
Rodolfo Zunino,45
Maziyar Hamdi,3
Hirantha Abeysekera,1
Najah AbuAli,3
Koichi Adachi,1
Sonia Aïssa,2
Lalla Soundous El Alami,1
Hidehiro Andoh,1
Atefeh Hajijamali Arani,1
Paul Walter Baier,1
Amnart Boonkajay,1
Jinho Choi 0001,4
Linglong Dai,11
Wei Dai,4
Imane Daou,1
Mostafa Darabi,1
Sener Dikmese,1
Zhiguo Ding 0001,39
David D. Falconer,3
Shangang Fan,1
Salma Ait Fares,2
Kaoru Fukuda,1
Haris Gacanin,5
Deepshikha Garg,1
Guan Gui,14
Ismail Güvenç,7
Kiyohiko Hattori,1
Kenichi Higuchi,1
Hongji Huang,2
Shohei Inoshita,1
Takamichi Inoue,1
Koichi Ishihara,1
Masashi Itagaki,1
Haruki Ito,1
Takayoshi Iwata,1
Ashish James,1
Tao Jiang 0002,19
Faisal Kaleem,1
Kazuhiro Kimura,1
Fumihide Kojima,1
Yohei Kojima,1
Eisuke Kudoh,1
Shinya Kumagai,1
Tomoaki Kumagai,1
Ernest Kurniawan,1
Masahiro Kuroda,1
Gilsoo Lee,2
Kyesan Lee,1
James S. Lehnert,1
Dapeng Li,3
Huan-Bang Li,2
Yunyi Li,1
Amir Ligata,1
Shan Lin,2
Le Liu 0001,1
Shaodan Ma,6
Kazuya Machida,1
A. S. Madhukumar,3
Behrouz Maham,8
Hiroki Matsuda,1
Ryusuke Matsukawa,1
Yuki Matsumura,1
Abolfazl Mehbodniya,2
Hiroyuki Miyazaki,1
Hideyuki Moroga,1
Shahid Mumtaz,14
Masayuki Nakada,1
Masao Nakagawa,1
Akinori Nakajima,1
Masataka Nakazawa,1
Tung-Sang Ng,2
Tatsunori Obara,1
Shingo Ohmori,1
Suguru Okuyama,1
M. J. Omidi,3
Kazuyuki Ozaki,1
Xiaowei Pang,4
John David Parsons,1
Wei Peng 0003,3
Iulia Prodan,1
Michael B. Pursley,1
Walid Saad,10
Tomoyuki Saito,1
Mika Salmela,1
Hikmet Sari,9
Mamoru Sawahashi,1
Hiroyuki Seki,1
Yuta Seki,1
Tomas Sjödin,1
Wayne E. Stark,1
Ren Sugai,1
Sumei Sun,8
Jimmy Hadi Susanto,1
Shinsuke Takaoka,1
Yasushi Takatori,1
Kazuaki Takeda 0001,1
Ken Tanaka,1
Shinya Tanaka,1
Katsuhiro Temma,1
Tjeng Thiang Tjhung,5
Hiromichi Tomeba,1
Karthik Vasudeva,1
Thanh Hai Vo,1
Takao Waho,1
Qun Wan,4
Chung-Wei Wang,2
Jiangzhou Wang,5
Li-Chun Wang 0001,11
Xiaodong Wang,9
Zhaocheng Wang 0001,6
ZhiSen Wang,1
Li Xu 0004,1
Ryoto Yaguchi,1
Tetsuya Yamamoto,1
Jie Yang 0027,1
Zhen Yang 0001,4
Kang K. Yen,1
Rintaro Yoneya,1
Shohei Yoshioka,1
Tatsunori Yui,1
Jianhua Zhang,4
Weile Zhang,7
Ou Zhao,1
Yiqing Zhou,1
Wei-Ping Zhu,4
Xudong Zhu,2
Karim Abed-Meraim,2
Ali Afana,2
Yassine Salih Alj,1
Mohamed-Slim Alouini,25
Souheib Ben Amor,2
Vahid Asghari,1
Ahmad El Assaf,1
Nesrine Atitallah,2
Mourad Azzakhmam,1
Mohammed Bakkali,2
Faouzi Bellili,2
Jacob Benesty,1
Mohamed Ali Boujelben,2
Inès Bousnina,2
Karim Cheikhrouhou,1
Jingdong Chen,1
Shehadi Dayekh,1
Tayeb A. Denidni,1
Charles L. Despins,1
Panagiotis D. Diamantoulakis,3
Mamadou Abdoulaye Diop,1
Mourad Djadel,1
Jacek Dmochowski,1
Ahmed Elderini,1
Chaima Elguet,2
Farrokh Etezadi,1
Saeed Gazor,1
Ali Ghrayeb,1
Yves Grenier,1
Haithem Haggui,1
Henrik Hansen,1
Sonia Ben Hassen,2
Bouthaina Hmidet,1
Dushantha N. K. Jayakody,3
Abla Kammoun,2
Nahi Kandil,1
Khaled Lajnef,1
Amine Laourine,3
Ahmed Latrach,1
Jun Li,12
Ben Liang,4
Laurence Mailaender,2
Ahmed Masmoudi 0002,3
Imen Mechmeche,3
Rabii Meftehi,2
Paul Mermelstein,1
Achref Methenni,2
Imen Mrissa,2
Raouia Nasri,2
Chahé Nerguizian,2
M. M. Rahman,1
M. Moshiur Rahman,1
Abdelaziz Samet,2
Venkatesh Sampath,1
Mohamed Siala 0001,3
Besma Smida,3
Oussama Ben Smida,2
Mehrez Souden,1
Belhassen Sultana,1
Shah Ahsanuzzaman Md Tariq,1
Usa Vilaipornsawai,1
Slim Zaidi,2
Keyvan Zarifi,2
Liqing Zhang 0003,1
Peiying Zhu,1
Benyamin Abrishamchi,1
Adnan Aijaz,3
Mohammad Reza Akhavan,1
Auon Muhammad Akhtar,3
Ben Allen,1
Nancy Alonistioti,3
Mojdeh Amani,1
Jing An,1
Marylin Arndt,1
Imran Ashraf,1
Dev Pramil Audsin,1
Ayda Babaei,1
Shaswar Baban,1
A. Mirsayar Barkoosaraei,1
Dominique Barthel,1
Maria-Gabriella Di Benedetto,2
Konstantinos Boukis,1
Orlando Cabral,1
William G. Chambers,1
Jian Chen 0008,2
S. Choobkar,1
Ekaterini Christofylaki,1
Yun Won Chung,1
Stéphane Ciolino,1
Yansha Deng,6
Reza Sham Dilmaghani,1
Mischa Dohler,10
Mohammad Farhoudi 0001,1
Ramon Ferrús,2
Panagiotis Fines,1
Simon Fletcher,1
Vasilis Friderikos,2
Magnus Frodigh,1
Liljana Gavrilovska,1
Nikos Georganopoulos,1
Mona Ghassemian,1
Mohammad Ghavami,3
Seyed Ali Ghorashi,1
Seyed Ehsan Ghoreishi,1
Filippo Giannetti,1
Athanasios Gkelias,3
Assen Golaup,1
Racha Gouareb,1
Laura Guerrero,1
