node,degree centrality
Lifang He 0001,54
Yueying He,12
Zhouzhou He,8
Hans-Ulrich Heiß,27
Helga Van Herle,5
Kirsten Hildrum,29
Liang Hong,81
Tzung-Pei Hong,166
Xiaoguang Hong,21
Yunfeng Hou,0
Vagelis Hristidis,66
Wenwey Hseush,7
Hui-Fang Hsiao,3
Hui-I Hsiao,22
Ming-Jyh Hsieh,3
Binbin Hu,11
Jiawei Hu,30
Lisha Hu,20
Qingbo Hu,9
Xia Hu,77
Xiaohua Hu,184
Xuming Hu,0
Wen Hua,27
Angus F. M. Huang,8
Dong Huang,77
Feiran Huang,9
Guangyan Huang,46
He Huang,109
Jieyun Huang,4
Jiun-Long Huang,39
Ling Huang,120
Meiyu Huang,16
Tian Huang,43
Wei Huang,179
Wei-Jyun Huang,2
Weiran Huang 0001,16
Xiangdong Huang,24
Yi-an Huang,3
Yu Huang,74
Yu Huang 0003,5
Yue Huang,48
Yun-Wu Huang,6
Zhipeng Huang 0001,14
Zhiqiu Huang,78
Arun Iyengar,79
Vijay S. Iyengar,22
Balakrishna R. Iyer,28
Anant Jhingran,21
Houye Ji,6
Pengxin Ji,5
Shaoxiong Ji,9
Yugang Ji,3
Yan Jia 0001,78
Fei Jiang,45
Haoliang Jiang,8
Minhao Jiang,4
Zhongyuan Jiang,7
Luo Jie,9
Ruoming Jin,75
Songchang Jin,8
Dhiraj Joshi,30
James B. D. Joshi,45
Mahesh Joshi,15
Gail E. Kaiser,54
Dilip D. Kandlur,30
Rong Kang,6
Chris Kanich,27
Hillol Kargupta,45
George Karypis,87
Akshay Katta,5
Yiping Ke,29
Eamonn J. Keogh,114
Jongsung Kim,40
Sang-Wook Kim,127
Gary M. King,0
Irwin King,134
Masaru Kitsuregawa,131
Heide Klumpp,10
Shao-Heng Ko,4
Yaakov Kogan,7
George Kollios,40
Xiangnan Kong,72
Tevfik Kosar,31
Suleyman Serdar Kozat,47
Hans-Peter Kriegel,99
C. Mani Krishna,26
Vipin Kumar,179
Hsu-Chao Lai,7
Jian-Huang Lai,125
Kunfeng Lai,24
M. Seetha Lakshmi,2
Yi-Feng Lan,7
Riccardo Lancellotti,14
Man Ki Mag Lau,0
Stephen S. Lavenberg,11
Chang-Hung Lee,7
Shuik Ming Lee,0
Sukho Lee,30
Wang-Chien Lee,134
Wee Sun Lee,62
Wenke Lee,101
Yann-Hang Lee,40
Avraham Leff,9
Mingtao Lei,5
Yu Lei,111
Alex D. Leow,114
Aiping Li,57
Bin Li 0015,26
Bo Li,440
Bo Li 0005,42
Chaozhuo Li,23
Chuan Li,59
Chuan Li 0002,31
Chung-Sheng Li,49
Ding Li,49
Feifei Li 0001,75
Fengxiang Li,2
Gang Li 0009,46
Gen Li,97
Guiling Li,9
Guoqiang Li 0008,1
Haisheng Li,73
Hongyan Li,125
Hui Li 0005,14
Jia Li,203
Jianxin Li,88
Jianxin Li 0002,42
Jinjiu Li,8
Jirui Li,7
Kangan Li,0
Kenli Li,167
Keqin Li 0001,216
Li-Jia Li,71
Lin Li 0003,18
Moyin Li,3
Qingzhong Li,53
Shou-Chung Li,5
Taisong Li,2
Weijian Li,23
Wengen Li,7
Xi Li 0001,85
Xiang-Yang Li 0001,204
Xiaoli Li 0001,75
Xiaoyong Li 0003,20
Xin Li 0011,2
Xingsen Li,34
Xuelong Li,321
Yaliang Li,51
Yao Li,82
Yitong Li,45
Yixuan Li,45
Zhao Li,167
Zheng Li,281
Zhichun Li,55
Zhoujun Li,144
Xiang Lian,38
Yong Lian,85
Tingting Liang,21
Yanbo Liang,8
Guoqiong Liao,10
Zhung-Xun Liao,5
Yen-Chieh Lien,8
Ee-Peng Lim,179
Cheng-Ru Lin,3
Ching-Yung Lin,88
Chun-Wei Lin,100
Kuan-Hua Lin,0
Shu Lin,79
Shuyang Lin,8
Tao Lin,151
Wangqun Lin,7
Xuemin Lin 0001,148
Yu-Chieh Lin,11
Yu-Feng Lin,19
Yung-Hsiang Lin,0
Bing Liu 0001,129
Bo Liu 0002,12
Chao Liu 0001,10
Chunming Liu,15
Dexi Liu,20
Gang Liu,204
Han Liu,61
Haoyan Liu,11
Huan Liu,95
Huan Liu 0001,127
Jiahao Liu,17
Jian Liu,283
Jianwei Liu,78
Jianxun Liu,67
Jiming Liu 0001,155
Lian Liu,12
Ling Liu 0001,160
Lu Liu,176
Mengyun Liu,20
Qi Liu,250
Shaobo Liu,22
Shenghua Liu,35
Siyu Liu,22
Te-Chuan Liu,0
Tze-Shiu Liu 0002,0
Xinyue Liu,33
Yang Liu,608
Ye Liu,68
Yichi Liu,0
Yuan Liu,160
Yubao Liu,30
Yue Liu 0002,2
Yun Liu,88
Zhang-Meng Liu,8
Zhen Liu 0001,46
Zhirong Liu,5
Zhiwei Liu,43
David Lo 0001,172
Ming-Ling Lo,7
Shaw-hwa Lo,3
Bo Long,21
Cheng Long,17
Guodong Long,54
Mingsheng Long,33
Chenglang Lu,5
Chun-Ta Lu,41
Eric Hsueh-Chan Lu,12
Hongjun Lu,63
Yuanfu Lu,7
Laura Z. Luan,9
Claudio Lucchese,55
Walter Ludwig,5
Gang Luo 0001,13
Huanrui Luo,2
Jiebo Luo,355
Ping Luo,81
Roger Jie Luo,2
Yuan Luo,58
Yuanhua Lv,25
Fenglong Ma,45
Guixiang Ma,16
Hongyuan Ma,24
Jianfeng Ma,219
Jiaqi Ma,16
Lijia Ma,29
Nianzu Ma,6
Sheng Ma,60
Wenlong Ma,9
Yiming Ma,34
Yuchi Ma,6
Edward A. MacNair,12
Mia Mao,3
Yishu Mao,14
Ram Marappan,0
Pekka Marttinen,31
Brij M. Masand,13
David May 0004,3
Julie A. McCann,79
Joe McCloskey,2
Marian McDonagh,8
Geoffrey J. McLachlan,31
Christopher Meek,37
Michael R. Mehan,4
Hong Mei,134
Paul Melby,0
Nasrullah Memon,15
Alberto O. Mendelzon,53
Lin Meng,18
Weiyi Meng,77
Arif Merchant,47
Ahmed Metwally 0002,4
Pericles A. Mitkas,58
Bamshad Mobasher,91
Noman Mohammed,29
Nooshin Mojab,4
Mohamed F. Mokbel,95
Hiroshi Motoda,73
Rajeev Motwani 0001,105
Jörg P. Müller,51
Richard R. Muntz,64
Klara Nahrstedt,183
Mehrnaz Najafi,2
Milind R. Naphade,30
Olfa Nasraoui,52
Jeffrey F. Naughton,153
Wolfgang Nejdl,167
Peter C. Nelson,22
Angus F. M. Ng,0
See-Kiong Ng,51
Wee Keong Ng,69
Hoang Nguyen,41
Jingchao Ni,29
Yuanchi Ning,2
Yuanxing Ning,6
Brandon Norick,14
Vahid Noroozi,18
David P. Olshefski,5
Yuming Ou,16
L. Ozsen,0
Z. Meral Özsoyoglu,50
M. Tamer Özsu,101
Jean-François Paiement,11
Shirui Pan,47
Sinno Jialin Pan,54
Xiao Pan,25
Xiuming Pan,6
Amit Pande,32
Spiros Papadimitriou,36
Jan Paredaens,38
Jong Soo Park,3
Sanghyun Park,85
Krishna R. Pattipati,103
Rapeeporn Payattakool,0
Jian Pei,222
Jisheng Pei,4
Hao Peng,105
Peng Peng 0002,1
Wen-Chih Peng,71
Xiaohui Peng,27
Yu Peng,75
Zhaohui Peng,28
Chang-Shing Perng,29
Te Pi,2
Gregory Piatetsky-Shapiro,21
Andrea Piscitello,12
Cecilia M. Procopiuc,20
Calton Pu,178
Cong Qian,5
Zhiliang Qian,16
Fengcai Qiao,8
Miao Qiao,9
Lu Qin,68
Zhengyuan Qiu,0
Qiang Qu,49
Siyu Qu,5
Yongzhi Qu,11
J. Ross Quinlan,1
Ann B. Ragin,17
Altaf Rahman,1
Deepak Rajan,22
Raghu Ramakrishnan,187
Krithi Ramamritham,141
Sanjay Ranka,123
Chinya V. Ravishankar,20
Jesse Read,33
Jiangtao Ren,15
Xuebin Ren,16
Yuxiang Ren,5
Junghwan Rhee,38
Anton Riabov,20
John T. Robinson,10
Huigui Rong,18
Nick Roussopoulos,31
Kelly Ryan,12
Debanjan Saha,50
John J. Salerno,9
Aki-Hiro Sato,5
Yücel Saygin,45
Uwe Schwiegelshohn,49
Zaba Sebastian,0
Dipanjan Sengupta,16
Jay Sethuraman,18
Hadas Shachnai,59
Zon-Yin Shae,28
Syed Umair Ahmed Shah,1
Weixiang Shao,19
Rong She,7
Samira Sheikhi,9
Chih-Ya Shen,15
LinLin Shen,98
Yulong Shen,76
Zeqian Shen,3
Zhen Shen,23
Baile Shi,68
Chuan Shi,68
Jie Shi,54
Weiwei Shi 0002,14
Xiaoxiao Shi,19
Yong Shi,180
Zhi-Ping Shi 0002,41
Bai-En Shie,5
Jingdong Shu,6
Lei Shu 0004,6
Xinyu Shu,8
Hong-Han Shuai,31
Munindar P. Singh,129
Dinkar Sitaram,18
Matthew Slattery,2
Neil R. Smalheiser,15
John R. Smith,101
Alexander J. Smola,167
Richard T. Snodgrass,93
Patricia Soares,7
Richard Socher,94
Le Song,181
Li Song,56
Shaoxu Song,21
Tianhang Song,2
Xuebo Song,4
Yangqiu Song,121
Myra Spiliopoulou,113
Mark S. Squillante,64
Pradip K. Srimani,59
Witawas Srisa-an,36
Ashok N. Srivastava,22
Jaideep Srivastava,143
Frederic T. Stahl,24
Michael S. Steinbach,60
Dan Steinberg,77
Leon Stenneth,8
Salvatore J. Stolfo,64
Ja-Hwung Su,28
Sen Su,72
Yuan Su,25
Karthik Subbian,20
Shankara B. Subramanya,4
Rachuri Sudarsan,27
Torsten Suel,53
Yulei Sui,23
Chong-Jing Sun,4
Jia-Guang Sun,130
Jimeng Sun,144
Li Sun,124
Lichao Sun,20
Xingzhi Sun,13
Yanchao Sun,14
Yizhou Sun,126
Zheng Sun,66
Ziping Sun,4
Neel Sundaresan,29
Toyotaro Suzumura,63
Andreas L. Symeonidis,45
Chih-Hua Tai,11
Ah-Hwee Tan,68
Aloysius Tan,0
Longhai Tan,0
Bahar Taneri,7
Chunqiang Tang,26
Jie Tang 0001,244
Lei Tang 0001,10
Lu-An Tang,35
David Taniar,102
Dacheng Tao,444
Tianyi Tao,0
James Z. Teng,3
Wei-Guang Teng,16
Ya-Wen Teng,3
Marisa Thoma,13
Dina Thomas,2
Alexander Thomasian,21
Yingjie Tian,71
Prasoon Tiwari,16
Hanghang Tong,118
Yongxin Tong,41
Jeffrey J. P. Tsai,87
Miu K. Tsang,0
Belle L. Tseng,56
Peng-Jui Tseng,5
Vincent S. Tseng,117
Vassilis J. Tsotras,84
Ke Tu,4
Deepak S. Turaga,42
John Turek,12
Nicholas B. Turk-Browne,20
Lyle H. Ungar,93
Zografoula Vagena,23
Oscar Valdivia,3
Athanasios V. Vasilakos,435
Olivier Verscheure,49
Siim Viidu,3
Nathalie Vizueta,4
Michail Vlachos,51
Changxuan Wan,13
Li Wan,31
Mengting Wan,11
Yao Wan,22
Bai Wang,11
Bai Wang 0001,37
Biao Wang,89
Can Wang 0004,31
Chang Wang,61
Chang-Dong Wang,49
Changhu Wang,63
Changping Wang,15
Chaokun Wang,48
Chen Wang,206
Chong-Jun Wang,53
Fei Wang,312
Fei Wang 0001,123
Fei-Yue Wang 0001,219
Feifei Wang,37
Fengjiao Wang,12
Guan Wang,51
Guoxing Wang,75
Haixun Wang,140
Hao Wang,513
Hongfei Wang,23
Hui Wang 0030,27
James Zijun Wang,64
Ji Wang,90
Ji Wang 0002,14
Jianmin Wang,11
Jianmin Wang 0001,145
Jianyong Wang,69
Jindong Wang 0001,18
Jing Wang,528
Ke Wang 0001,57
Leiquan Wang,9
Lihong Wang,52
Meng Wang 0001,204
Min Wang 0001,37
Peng Wang 0027,27
Qian Wang,376
Ran Wang,46
Senzhang Wang,74
Shaoxiong Wang,9
Shen Wang,62
Shyue-Liang Wang,52
Wei Wang,706
Wei Wang 0009,125
Wei Wang 0010,91
Weipeng Wang,0
Xiao Wang 0017,16
Xiaomin Wang,47
Xinghua Wang,19
Xuan Wang,97
Xue Wang,64
Xuezhi Wang 0002,12
Yixue Wang,2
Yue Wang 0014,23
Yukun Wang,15
Yunbo Wang,13
Yuqi Wang,26
Zhefeng Wang,18
Zheng Wang,215
Christopher Ward,39
Michael S. Waterman,42
Gang Wei,55
Xiaokai Wei,22
Gerhard Weiss,32
Danyan Wen,5
Jian Wen,39
Lijie Wen,45
Zhen Wen,49
Kevin P. White,27
Jennifer Widom,119
David J. Wild 0001,25
Graham Williams,6
Theodore L. Willke,47
Icel Wolf,0
Joel L. Wolf,36
Ouri Wolfson,80
Ching Kian Wong,3
Raymond Chi-Wing Wong,59
Bin Wu 0001,66
Cheng-Wei Wu,25
Chien-Sheng Wu,16
Di Wu 0008,7
Hang Wu,30
Jia Wu 0001,65
Jian Wu 0001,46
Ke Wu,84
Kun-Lung Wu,55
Quanyuan Wu,42
Shan-Hung Wu,17
Tianyi Wu,24
Wei Wu 0011,4
Xian Wu,109
Xiaoyun Wu,13
Xindong Wu 0001,220
Yi Wu,89
Zhaoming Wu,7
Zongda Wu,23
Zonghan Wu,13
Congying Xia,18
Yi Xia,21
Yinglong Xia,40
Yiyuan Xia,1
Fu Xiao,73
Yanshan Xiao,11
Junyi Xie,5
Junyuan Xie,45
Sihong Xie,44
Xiancheng Xie,3
Yan Xie,14
Zhijun Xie,8
Mengqi Xing,6
Zhengzheng Xing,2
Caiming Xiong,89
Ping Xiong,13
Yun Xiong,32
Bo Xu 0001,17
Guandong Xu,142
Hu Xu,22
Jin Xu,136
Jin Xu 0002,14
Linchuan Xu,7
Tianbing Xu,10
Weijia Xu,47
Xiaoyun Xu,12
Yabo Xu,13
Yang Xu,274
Yi Xu,204
Yuanbo Xu,9
Yusong Xu,0
Baoshi Yan,9
Hui Yan,28
Rong Yan,58
Wenqiang Yan,10
Xiaohui Yan,37
Xifeng Yan,109
Yonghong Yan 0002,133
Zhao Yan,23
Zhenyu Yan,23
Zhiqiang Yan,8
Bo Yang 0002,38
De-Nian Yang,62
Dejian Yang,7
Guang Yang,135
Jian Yang 0001,56
Jie Yang,208
Jiong Yang,44
Jun Yang 0001,55
Min Yang 0007,69
Ning Yang 0001,19
Qiang Yang 0001,268
Shiqiang Yang,111
Shuqiang Yang,38
Shusen Yang,25
Stephen J. H. Yang,40
Tao Yang,157
Tao-Heng Yang,2
Xiaoting Yang,4
Xiaowei Yang,77
Xinyu Yang,68
Yang Yang,564
Zeyu Yang,1
Zhilin Yang,30
Yiyu Yao,119
Yuntao Yao,5
Zhiyu Yao,2
Ghim-Eng Yap,18
Fanghua Ye,11
Liangliang Ye,2
Xiaojun Ye,30
Yanfang Ye,39
Hsin-Ho Yeh,5
Mi-Yen Yeh,24
Guolei Yi,6
Hongzhi Yin,92
Jian Yin 0002,55
Jie Yin,87
Wenpeng Yin,0
Xiaoxin Yin,8
Zichang Yin,0
Haochao Ying,13
Jia-Ching Ying,17
Xingde Ying,5
Honesty C. Young,16
Michael Young,31
Chia-Mu Yu,37
Clement T. Yu,83
Han Yu 0001,55
Hwanjo Yu,69
Jeffrey Xu Yu,193
Ke Yu,58
Lei Yu,153
Qi Yu,52
Ting Yu,122
Weiren Yu,33
Xiao Yu,92
Binhang Yuan,12
Mingxuan Yuan,59
Yuan Yuan,151
Yading Yue,0
Bianca Zadrozny,24
Osmar R. Zaïane,115
Yifeng Zeng,52
Liang Zhan,61
Qianyi Zhan,9
Aoqian Zhang,7
Bangzuo Zhang,8
Chengqi Zhang,121
Chenwei Zhang,44
Dong-Qing Zhang,9
Gong Zhang,123
Han Zhang,183
Honghui Zhang,12
Jia Zhang 0001,74
Jianguo Zhang,150
Jianjin Zhang,12
Jianping Zhang,54
Jiawei Zhang,188
Jiexiong Zhang,7
Jingyuan Zhang,60
Jinrui Zhang,3
Jun Zhang,471
Junni Zhang,0
Junsan Zhang,2
Junxing Zhang,35
Kuan Zhang,57
Kun Zhang 0012,16
Lei Zhang,769
Li Zhang 0002,66
Liangpei Zhang,174
Menghao Zhang,15
Peng Zhang 0001,65
Ruofei Zhang,27
Simon Zhang,3
Suhua Zhang,4
Tao Zhang,367
Tianle Zhang,19
Wenkai Zhang,25
Xi Zhang 0008,23
Xiaoling Zhang,9
Xiaoming Zhang 0001,34
Ya Zhang 0002,66
Yan Zhang,528
Yao Zhang,127
Yaqing Zhang,18
Yiding Zhang,2
Yongshan Zhang,9
Yuanyuan Zhang,107
Yun Zhang,181
Yunjia Zhang,7
Yutao Zhang,5
Zhaokun Zhang,0
Zhenhua Zhang,36
Zhiqiang Zhang,136
Zhongbao Zhang,21
Zhongfei Zhang,117
Lei Zhao,173
Peixiang Zhao,22
Wayne Xin Zhao,61
Xueyi Zhao,11
Yanchang Zhao,19
Yuchen Zhao,16
Yuhui Zhao,12
Zhi-Lin Zhao,6
Zhou Zhao,124
Lei Zheng,116
Yi Zheng,124
Zibin Zheng,132
Shi Zhi,16
Ning Zhong 0001,152
Qianhui Zhong,5
Yanfei Zhong,57
Yu Zhong,30
Bin Zhou 0004,41
Chong Zhou,22
Chuan Zhou 0001,31
Hucheng Zhou,35
Mianwei Zhou,6
Shuigeng Zhou,123
Wanlei Zhou,162
Xianghong Jasmine Zhou,27
Xiao-Nong Zhou,5
Xiaofang Zhou 0001,235
Xu Zhou,123
Yingbo Zhou,45
Zhi-Hua Zhou,196
Enqiang Zhu,18
Feida Zhu 0001,63
Hongyu Zhu,13
Jie Zhu,77
Junxing Zhu,10
Qiang Zhu 0002,11
Ruixin Zhu,19
Tianchen Zhu,3
Tianqing Zhu,33
Wen-Yuan Zhu,8
Wenwu Zhu 0001,174
Xiaochen Zhu,10
Xiaomin Zhu,99
Xingquan Zhu,100
Yangyong Zhu,35
Yilin Zhu,4
Yongxin Zhu 0001,96
Yuqing Zhu 0001,29
Fuzhen Zhuang,91
Lei Zou 0001,48
Pengcheng Zou,9
John Zulueta,8
Wanli Zuo,48
Parham Aarabi,1
Brendan J. Frey,2
Ralf Koetter,1
Evren Körpeoglu,1
Trausti T. Kristjansson,1
Sushant Kumar,1
Kamiya Motwani,1
David C. Munson Jr.,1
Steven J. Rennie,1
Rómer Rosales,1
Sam T. Roweis,1
Chuanwei Ruan,1
Yinglian Xie,3
Da Xu,1
Fang Yu,2
Faysal Ahmed,1
Samer Al-khateeb,1
Narayan R. Aluru,1
Kiran Kumar Bandeli,1
Halil Bisgin,1
Yung Chang,2
Projan Das,1
Ashutosh Dutta,1
Nicola J. Ferrier,2
Meenakshisundaram Gopi,1
Ruocheng Guo,2
Ehtesham Haque,2
Mark Hereld,3
Muhammad Nihal Hussain,1
Hemant Joshi,1
Kotaro Kataoka,1
Tuja Khaund,1
Merlyna Lim,1
Debanjan Mahata,2
Ratna Mandal,1
Thomas Marcoux,1
Seshadri Mohan,1
Raha Moraffah,2
Subrata Nandi,1
Adewale Obadimu,1
Magdiel Galan Oliveras,3
Nathaniel D. Osgood,1
Lance Parsons,2
Vineeth Rakesh,2
Srini Ramaswamy,1
Rebecca S. Robinson,1
Amit Saha,1
Sujoy Saha,1
Fatih Sen,1
Shashvata Sharma,2
Zachary K. Stine,1
Serpil Tokdemir,1
Martha VenkataSwamy,1
Yannis Viniotis,1
Stephen Wallace,1
Jiangxin Wang,2
Rolf T. Wigand,1
Xiangmin Xu,5
Xiaowei Xu 0001,2
Sung-Eui Yoon,1
Serpil Yuce,1
Zheng Zhao,3
Aoying Zhou,12
Tarek F. Abdelzaher,8
Ramesh C. Agarwal,3
Dakshi Agrawal,3
Hossein Ahmadi,2
Tahseen Al-Khateeb,3
Md. Tanvir Al Amin,1
Ana Paula Appel,2
Amotz Bar-Noy,3
Ken Barker,2
Swarup Chandra,1
Shiyu Chang,7
Pin-Yu Chen,6
Wei Cheng,10
Tyler Clemons,1
Renato Luiz de Freitas Cunha,1
Michele Dallachiesa,1
Tyler Derr,2
Liang Duan,1
S. M. Faisal,1
Raghu K. Ganti,3
Ramesh Govindan,5
Siyu Gu,1
Manish Gupta 0001,6
Ahsanul Haque,1
Gewen He,2
Alexander Hinneburg,3
Renjun Hu,1
Shaohan Hu,3
Jinpeng Huai,8
Thomas S. Huang,15
Siyu Huo,1
Shouling Ji,3
Ramakrishnan Kannan,2
Lance M. Kaplan,7
Daniel A. Keim,3
Arijit Khan,3
Latifur Khan,5
Hieu Khac Le,2
Nan Li,6
Shen Li,1
Guannan Liu,4
Hengchang Liu,5
Jialu Liu,5
Lin Liu 0001,7
Wei Liu 0005,13
Liang Ma 0002,2
Shuai Ma 0001,6
Yao Ma 0001,1
Mohammad M. Masud,4
Prasant Mohapatra,3
James B. Orlin,2
Themis Palpanas,6
Chenji Pan,2
Haesun Park,5
Srinivasan Parthasarathy 0001,3
Srinivasan Parthasarathy 0002,4
Xi Peng 0005,2
V. V. V. Prasad,1
Guo-Jun Qi,5
Chandan K. Reddy,2
Saket Sathe,3
Nicu Sebe,4
Simon Shamoun,1
Mudhakar Srivatsa,6
Lu Su,8
Jiliang Tang,4
Shirish Tatikonda,1
Marcela Megumi Terakado,1
Peter Terlecky,1
Bhavani M. Thuraisingham,7
Qi Tian 0001,16
Min-Hsuan Tsai,1
Dong Wang 0002,4
Jingdong Wang,14
Min Wang,7
Pengfei Wang,4
Pengyang Wang,3
Shiguang Wang,3
Suhang Wang,6
Hyenkyun Woo,1
Lingfei Wu,3
Hui Xiong 0001,21
Fangli Xu,2
Kun Xu,6
Shuochao Yao,3
Ian En-Hsu Yen,2
Dawei Yin,5
Wenchao Yu,4
Hessam Zakerzadeh,1
Mohammed J. Zaki,10
ChengXiang Zhai,9
Yuzhou Zhang,3
Zhen Zhang 0007,2
Liang Zhao 0002,3
Jiayu Zhou,10
Lizhu Zhou,6
Bo Zong,7
Daniel J. Abadi,5
Serge Abiteboul,7
Anastasia Ailamaki,6
Andreas Arning,1
Dmitri Asonov,1
Magdalena Balazinska,6
Mayank Bawa,2
Roberto J. Bayardo,2
Philip A. Bernstein,7
Toni Bollinger,1
Eric A. Brewer,3
Jehoshua Bruck,1
Michael J. Carey 0001,9
Stefano Ceri,7
Soumen Chakrabarti,2
Sunandan Chakraborty,1
Surajit Chaudhuri,9
Roberta Cochrane,2
W. Bruce Croft,6
Shaul Dar,1
Umeshwar Dayal,6
Jeffrey Dean,6
Linda G. DeMichiel,1
Keith D. Detro,1
Premkumar T. Devanbu,2
David J. DeWitt,7
